experiment,method,step,alpha,r2
single_normal,baseline,data_generation,2.144522152993866,0.9921701429632381
single_normal,baseline,estimator_computation,0.1136700936849469,0.9268635595655192
single_normal,baseline,metric_computation,0.14706299468985365,0.7001907672290917
single_t,baseline,data_generation,1.6950869418430363,0.9804960242520457
single_t,baseline,estimator_computation,0.11592675958864582,0.9286924254368536
single_t,baseline,metric_computation,0.13312274515197026,0.7897652939387537
multi_normal,baseline,data_generation,2.167719376096621,0.990749479252162
multi_normal,baseline,estimator_computation,0.2781325533935275,0.9420334380380119
multi_normal,baseline,metric_computation,0.33863688181800233,0.9295793144629434
multi_t,baseline,data_generation,1.7280999340902634,0.9859741394167145
multi_t,baseline,estimator_computation,0.2031400622297106,0.9193906340233351
multi_t,baseline,metric_computation,0.16587003805319522,0.7603245371049266
convergence,baseline,data_generation,2.187347302964638,0.9913565445277607
convergence,baseline,estimator_computation,0.30737289567523474,0.9597863402178428
convergence,baseline,metric_computation,0.4551843985449515,0.914079059712374
single_normal,cholesky,data_generation,1.7169104098285877,0.9696749196474829
single_normal,cholesky,estimator_computation,0.13695854775133537,0.9465784855909123
single_normal,cholesky,metric_computation,0.1839727105615291,0.8369120957371156
single_t,cholesky,data_generation,1.7138266332124525,0.9778791889313863
single_t,cholesky,estimator_computation,0.14085695186198233,0.9486070069912755
single_t,cholesky,metric_computation,0.17263903785562082,0.9289626730475813
multi_normal,cholesky,data_generation,1.7791839675573837,0.9815998712747226
multi_normal,cholesky,estimator_computation,0.2681212670634824,0.911676486594726
multi_normal,cholesky,metric_computation,0.28319541562432476,0.7662430903364167
multi_t,cholesky,data_generation,1.7385453640687079,0.9812137098187346
multi_t,cholesky,estimator_computation,0.19077264436720848,0.9422076255876173
multi_t,cholesky,metric_computation,0.17800779366123948,0.7717480196087788
convergence,cholesky,data_generation,1.760772903238978,0.9804547261600526
convergence,cholesky,estimator_computation,0.22346107711729002,0.838679860555445
convergence,cholesky,metric_computation,0.30019647898432744,0.7579020997780732
single_normal,cholesky+parallelization,data_generation,1.8423851222429461,0.9302219558442857
single_normal,cholesky+parallelization,estimator_computation,0.25693859347087333,0.8231347263228461
single_normal,cholesky+parallelization,metric_computation,0.4545740136262604,0.8133873785624062
single_t,cholesky+parallelization,data_generation,2.092043921006384,0.966071947863673
single_t,cholesky+parallelization,estimator_computation,0.24168967197190805,0.7981747728412433
single_t,cholesky+parallelization,metric_computation,0.14672204446691656,0.73449865214373
multi_normal,cholesky+parallelization,data_generation,1.9349312088508495,0.9527376887473679
multi_normal,cholesky+parallelization,estimator_computation,0.40496223976612733,0.928612246104386
multi_normal,cholesky+parallelization,metric_computation,0.6560093394549029,0.7718237473214946
multi_t,cholesky+parallelization,data_generation,2.14894753314665,0.9745282968506062
multi_t,cholesky+parallelization,estimator_computation,0.3051851861967814,0.8696070667609217
multi_t,cholesky+parallelization,metric_computation,0.3541762976804007,0.7171052306607697
convergence,cholesky+parallelization,data_generation,2.0371903582744038,0.981065854934605
convergence,cholesky+parallelization,estimator_computation,0.315205572915614,0.9278562096830282
convergence,cholesky+parallelization,metric_computation,0.44910274250198795,0.7859172633513043
